Divisão;Unidade;Código Cliente;Projeto Financeiro;Securitizadora; % AUSA ; % Parceiro ;% Sócio;Mês base;Banco Emissor
K232;A035;284989;114473;FIDC;64,5;35,5;0;01/04/2024;Bradesco
K232;F1015;306999;132071;FIDC;64,5;35,5;0;01/04/2024;Bradesco
K232;H009;306062;131287;FIDC;64,5;35,5;0;01/04/2024;Bradesco
K232;U065;345759;164096;FIDC;64,5;35,5;0;01/04/2024;Bradesco
K232;U080;345332;163772;FIDC;64,5;35,5;0;01/04/2024;Bradesco
L42X;330112;346678;165011;FIDC;75,8;24,2;0;01/04/2024;Bradesco
L42X;640045;346853;165017;FIDC;75,8;24,2;0;01/04/2024;Bradesco
M692;P08;294382;121713;FIDC;75;25;0;01/04/2024;Bradesco
M192;B206;361437;173955;FIDC;70;30;0;01/04/2024;Bradesco
L42X;160436;347600;167476;FIDC;75,8;24,2;0;01/04/2024;Bradesco
KB82;L418;359701;173009;FIDC;100;0;0;01/04/2024;Bradesco
L42X;420476;346388;164557;FIDC;75,8;24,2;0;01/04/2024;Bradesco
KB82;F410;333837;154356;FIDC;100;0;0;01/04/2024;Bradesco
KD26;AA202;302629;128453;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;B209;298365;124782;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;B216;406180;125009;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;BA220;325990;147789;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;BA225;342495;161445;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;D221;345316;163757;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;DA213;298149;124647;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;E213;348237;166004;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;E222;297958;124516;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;F225;349036;166550;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;G221;409159;126639;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;I212;60351;163749;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;J215;344733;125426;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;J220;336581;156611;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;M223;299729;132040;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;O210;298827;125161;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;P208;349622;166908;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;P212;349832;167034;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;P222;299729;132039;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;P225;407458;126725;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;R207;298649;125011;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;S213;348761;166371;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;T219;348341;166079;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;W205;344615;163240;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;X201;300596;126698;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KD26;Z219;350275;162280;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KF86;LA331;326522;148211;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KF86;OA316;344398;163064;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KF86;RA311;425844;141620;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KF86;T313;348899;166448;FIDC;58,71;41,29;0;01/04/2024;Bradesco
KF86;S308;312090;136237;FIDC;58,71;41,29;0;01/04/2024;Bradesco
L33X;4G07;349274;166657;FIDC;65;35;0;01/04/2024;Bradesco
L33X;Q1504;351487;168385;FIDC;65;35;0;01/04/2024;Bradesco
L33X;Q605;347063;170392;FIDC;65;35;0;01/04/2024;Bradesco
L33X;Q606;347063;170393;FIDC;65;35;0;01/04/2024;Bradesco
L33X;Q608;347063;170391;FIDC;65;35;0;01/04/2024;Bradesco
L33X;Q1701;269464;126995;FIDC;100;0;0;01/04/2024;Bradesco
L33X;Q1702;269464;126996;FIDC;100;0;0;01/04/2024;Bradesco
L33X;4E03;347628;165580;FIDC;65;35;0;01/04/2024;Bradesco
