Considerar?;Cód. Cliente;Tipo da Ação;Data Citação;Status da Ação;Tipo da Ação;Data do Encerramento;Data encerramento maior que citação;Localizado;Qtde. de Ações por Cliente;Ordem de Priorização
1;21;MULTA CONTRATUAL POR ATRASO;30/04/2020;ATIVO;CÍVEL;;0;1;1;15
1;10894;RESCISÃO CONTRATUAL COM ATRASO;31/05/2019;ATIVO;CÍVEL;;0;1;1;15
1;14650;MULTA CONTRATUAL POR ATRASO;31/08/2017;ATIVO;CÍVEL;;0;1;1;15
1;15311;MULTA CONTRATUAL POR ATRASO;31/05/2017;ATIVO;CÍVEL;;0;1;1;15
1;18599;RESCISÃO CONTRATUAL SEM ATRASO;30/11/2020;ATIVO;CÍVEL;;0;1;2;15
1;18599;RESCISÃO CONTRATUAL COM ATRASO;31/01/2018;ATIVO;CÍVEL;;0;1;2;15
1;18837;RESCISÃO CONTRATUAL COM ATRASO;30/11/2017;ATIVO;CÍVEL;;0;1;1;15
1;19051;RESCISÃO CONTRATUAL COM ATRASO;31/05/2017;ATIVO;CÍVEL;;0;1;1;15
1;20122;REVISÃO CONTRATUAL;28/02/2022;ATIVO;CÍVEL;;0;1;1;6
1;30563;MULTA CONTRATUAL;30/04/2020;ATIVO;CÍVEL;;0;1;1;15
1;35702;IRREGULARIDADE PERANTE ORGÃOS;28/02/2022;ATIVO;CÍVEL;;0;1;1;14
1;36379;RESCISÃO CONTRATUAL SEM ATRASO;31/08/2020;ATIVO;CÍVEL;;0;1;1;15
1;38257;COBRANÇA INDEVIDA;30/09/2020;ATIVO;CÍVEL;;0;1;1;3
1;39011;COBRANÇA INDEVIDA;30/09/2022;ATIVO;CÍVEL;;0;1;1;3
1;40873;REVISÃO CONTRATUAL;30/06/2021;ATIVO;CÍVEL;;0;1;1;6
1;42776;RESCISÃO CONTRATUAL COM ATRASO;30/09/2011;ATIVO;CÍVEL;;0;1;1;15
1;43301;RESCISÃO CONTRATUAL SEM ATRASO;30/04/2011;ATIVO;CÍVEL;;0;1;1;15
1;43730;RESCISÃO CONTRATUAL COM ATRASO;31/07/2020;ATIVO;CÍVEL;;0;1;1;15
1;44132;RESTITUIÇÃO DO IPTU;31/03/2014;ATIVO;CÍVEL;;0;1;1;10
1;44696;RESTITUIÇÃO DE CLÁUSULA DE RETENÇÃO;30/09/2015;ATIVO;CÍVEL;;0;1;1;12
1;45026;RESCISÃO CONTRATUAL COM ATRASO;31/05/2018;ATIVO;CÍVEL;;0;1;1;15
1;45165;MULTA CONTRATUAL POR ATRASO;31/03/2015;ATIVO;CÍVEL;;0;1;1;15
1;45234;RESCISÃO CONTRATUAL COM ATRASO;30/04/2016;ATIVO;CÍVEL;;0;1;1;15
1;46016;RESTITUIÇÃO DO IPTU;31/05/2021;ATIVO;CÍVEL;;0;1;1;10
1;46187;RESCISÃO CONTRATUAL COM ATRASO;31/10/2015;ATIVO;CÍVEL;;0;1;1;15
1;46412;MULTA CONTRATUAL POR ATRASO;30/09/2015;ATIVO;CÍVEL;;0;1;1;15
1;46496;RESCISÃO CONTRATUAL SEM ATRASO;30/11/2020;ATIVO;CÍVEL;;0;1;1;15
1;46576;MULTA CONTRATUAL POR ATRASO;30/06/2018;ATIVO;CÍVEL;;0;1;1;15
1;46769;RESCISÃO CONTRATUAL COM ATRASO;30/04/2015;ATIVO;CÍVEL;;0;1;1;15
1;46928;MULTA CONTRATUAL POR ATRASO;30/04/2019;ATIVO;CÍVEL;;0;1;2;15
1;46928;RESCISÃO CONTRATUAL COM ATRASO;30/11/2019;ATIVO;CÍVEL;;0;1;2;15
1;46966;REVISÃO CONTRATUAL;31/08/2015;ATIVO;CÍVEL;;0;1;1;6
1;47137;RESCISÃO CONTRATUAL SEM ATRASO;30/11/2011;ATIVO;CÍVEL;;0;1;1;15
1;47526;RESCISÃO CONTRATUAL COM ATRASO;31/03/2018;ATIVO;CÍVEL;;0;1;1;15
1;48673;NEGATIVAÇÃO INDEVIDA;30/09/2021;ATIVO;CÍVEL;;0;1;2;5
1;48673;COBRANÇA INDEVIDA;31/12/2017;ATIVO;CÍVEL;;0;1;2;3
1;49075;RESTITUIÇÃO DO IPTU;31/03/2019;ATIVO;CÍVEL;;0;1;1;10
1;49487;RESCISÃO CONTRATUAL COM ATRASO;30/11/2017;ATIVO;CÍVEL;;0;1;1;15
1;50217;MULTA CONTRATUAL;30/11/2004;ATIVO;CÍVEL;;0;1;1;15
1;51427;COBRANÇA INDEVIDA;31/01/2014;ATIVO;CÍVEL;;0;1;1;3
1;51546;MULTA CONTRATUAL POR ATRASO;31/05/2017;ATIVO;CÍVEL;;0;1;1;15
1;51551;RESTITUIÇÃO DO IPTU;30/06/2022;ATIVO;CÍVEL;;0;1;1;10
1;51656;RESCISÃO CONTRATUAL SEM ATRASO;31/10/2012;ATIVO;CÍVEL;;0;1;1;15
1;52255;INADIMPLÊNCIA DO CLIENTE;30/09/2009;ATIVO;CÍVEL;;0;1;1;8
1;52623;COBRANÇA INDEVIDA;31/12/2012;ATIVO;CÍVEL;;0;1;1;3
1;52931;RESCISÃO CONTRATUAL SEM ATRASO;31/07/2011;ATIVO;CÍVEL;;0;1;1;15
1;52958;VÍCIOS CONSTRUTIVOS;31/12/2014;ATIVO;CÍVEL;;0;1;1;9
1;53621;RESCISÃO CONTRATUAL SEM ATRASO;31/05/2014;ATIVO;CÍVEL;;0;1;1;15
1;54029;NEGATIVAÇÃO INDEVIDA;30/09/2011;ATIVO;CÍVEL;;0;1;2;5
1;54029;RESCISÃO CONTRATUAL SEM ATRASO;30/04/2012;ATIVO;CÍVEL;;0;1;2;15
1;55730;TRANSFERÊNCIA DE PROPRIEDADE;31/03/2018;ATIVO;CÍVEL;;0;1;1;7
1;58989;MULTA CONTRATUAL POR ATRASO;31/10/2016;ATIVO;CÍVEL;;0;1;1;15
1;60007;MULTA CONTRATUAL;30/09/2020;ATIVO;CÍVEL;;0;1;1;15
1;61535;RESCISÃO CONTRATUAL COM ATRASO;31/05/2018;ATIVO;CÍVEL;;0;1;1;15
1;63398;NEGATIVAÇÃO INDEVIDA;31/12/2013;ATIVO;CÍVEL;;0;1;1;5
1;64411;MULTA CONTRATUAL POR ATRASO;31/03/2014;ATIVO;CÍVEL;;0;1;1;15
1;64675;RESCISÃO CONTRATUAL SEM ATRASO;30/09/2019;ATIVO;CÍVEL;;0;1;1;15
1;65250;MULTA CONTRATUAL POR ATRASO;31/10/2017;ATIVO;CÍVEL;;0;1;1;15
1;66328;MULTA CONTRATUAL POR ATRASO;30/09/2017;ATIVO;CÍVEL;;0;1;1;15
1;66519;VÍCIOS CONSTRUTIVOS;31/05/2021;ATIVO;CÍVEL;;0;1;1;9
1;66838;VÍCIOS CONSTRUTIVOS;31/10/2020;ATIVO;CÍVEL;;0;1;3;9
1;66838;VÍCIOS CONSTRUTIVOS;30/09/2020;ATIVO;CÍVEL;;0;1;3;9
1;66838;VÍCIOS CONSTRUTIVOS;30/11/2020;ATIVO;CÍVEL;;0;1;3;9
1;66875;INDENIZAÇÃO;31/07/2022;ATIVO;CÍVEL;;0;1;1;15
1;66895;VÍCIOS CONSTRUTIVOS;31/03/2019;ATIVO;CÍVEL;;0;1;2;9
1;66895;VÍCIOS CONSTRUTIVOS (ASSOCIAÇÃO);31/03/2019;ATIVO;CÍVEL;;0;1;2;12
1;67408;VÍCIOS CONSTRUTIVOS;31/03/2016;ATIVO;CÍVEL;;0;1;1;9
1;67746;MULTA CONTRATUAL;28/02/2019;ATIVO;CÍVEL;;0;1;1;15
