Divisao;Unidade;Código Cliente;Projeto Financeiro
K04W;Q0103;181471;36821
K04X;Q0232;42240;RI736961
K04X;Q0234;232024;RI652611
K04X;Q0415;334095;154596
K04X;Q0502;347988;165867
K04X;Q0507;40806;RI616412
K04X;Q0510;51485;RI616357
K04X;Q0625;79233;14427
K04X;Q0639;81393;15780
K04X;Q0723;58202;RI733081
K04X;Q0809;81265;15721
K04X;Q0907;41788;RI647679
K04X;Q0908;356690;171087
K04X;Q0909;356691;171086
K04X;Q0928;70989;9523
K04X;Q1118;44320;RI647393
K04X;Q1121;47201;RI616160
K04X;Q1216;51512;RI616321
K04X;Q1217;51512;RI616242
K04X;Q1222;51524;RI616273
K04X;Q1230;165554;11378
K04X;Q1329;71965;10133
K04X;Q1333;58178;RI733091
K04X;Q1407;65161;5859
K04X;Q1416;71968;10137
K04X;Q1617;51532;RI616483
K04X;Q1711;167581;15408
K04X;Q1712;167581;15412
K04X;Q1816;359632;165851
K97X;Q0202;336277;64968
K97X;Q0305;198990;49359
K97X;Q0307;195189;46473
K97X;Q0319;196577;47409
K97X;Q0401;350465;167310
K97X;Q0403;195704;46902
K97X;Q0406;194086;45406
K97X;Q0413;198255;48718
K97X;Q0414;346583;165866
K97X;Q0503;194335;45657
K97X;Q0511;359631;163498
K97X;Q0514;327573;149054
K97X;Q0519;195621;46846
K97X;Q0526;194233;45461
K97X;Q0608;195118;46445
K97X;Q0609;193900;45208
K97X;Q0612;193895;45196
K97X;Q0613;194958;46312
K97X;Q0702;297586;45321
K97X;Q0703;198293;48747
K97X;Q0710;217619;46204
K97X;Q0711;271191;45298
K97X;Q0722;208522;45302
K97X;Q0729;281906;51053
K97X;Q0802;194115;45419
K97X;Q0806;391062;47478
K97X;Q0807;354997;47475
K97X;Q0818;194390;45888
K97X;Q0821;195516;46751
K97X;Q0829;195111;46437
K97X;Q0901;254680;45161
K97X;Q0902;320937;45402
K97X;Q0903;193986;45317
K97X;Q0920;195717;46914
K97X;Q0921;193895;45296
K97X;Q0923;194978;46322
K97X;Q0924;50954;46336
K97X;Q0930;296256;46396
K97X;Q0937;193997;45335
K97X;Q0938;193997;45331
K97X;Q0944;193826;45008
K97X;Q0945;193815;44999
K97X;Q0946;193815;44998
K97X;Q1004;307687;49284
K97X;Q1014;285281;46449
K97X;Q1026;195708;46913
K97X;Q1031;195861;46998
K97X;Q1044;167581;46836
K97X;Q1046;194111;45414
K97X;Q1048;335618;45417
K97X;Q1104;234009;47431
K97X;Q1105;234009;46700
K97X;Q1111;344999;46444
K97X;Q1114;224083;45512
K97X;Q1124;194272;45521
K97X;Q1125;194271;45522
K97X;Q1129;198248;48702
K97X;Q1137;194044;45352
K97X;Q1203;193523;44784
K97X;Q1220;193410;44720
K97X;Q1221;193410;44721
K97X;Q1222;346583;171088
K97X;Q1227;220654;65423
K97X;Q1228;195133;46452
K97X;Q1310;391877;167481
K97X;Q1404;197708;48016
K97X;Q1405;197708;48017
K97X;Q1409;194337;45659
K97X;Q1411;222790;67199
K97X;Q1412;222242;66807
K97X;Q1414;229652;44725
K97X;Q1425;257356;44776
K97X;Q1426;305265;130633
K97X;Q1427;316101;139952
K97X;Q1511;194345;45668
K97X;Q1518;194192;45458
K97X;Q1525;193525;44785
K97X;Q1527;193774;46332
K97X;Q1609;220632;65420
K97X;Q1615;310104;48944
K97X;Q1616;293590;121154
K97X;Q1620;193428;44735
K97X;Q1710;193496;44775
K97X;Q1712;334091;154593
K97X;Q1714;347530;44732
K97X;Q1715;230283;47756
K97X;Q1723;326008;148000
K97X;Q1725;195136;46454
K97X;Q1733;194241;45496
K97X;Q1734;194241;45503
