Divisao;Unidade;Código Cliente;Projeto Financeiro
K11X;170135;84037;18120
K11X;170147;84037;18124
K11X;200616;84042;18125
L73X;120812;182750;37774
L73X;280074;296615;123477
K19X;D13;231202;171356
K19X;D14;231202;171357
K19X;E15;355039;170451
K19X;G26;424244;181746
K19X;I15;361014;173681
K19X;N01;358215;172272
K19X;O13;362980;175355
K19X;S05;159872;23486
K19X;S15;408092;179813
K19X;U04;409227;180414
K232;A075;354870;170198
K370;M116;213464;11908
L47X;A123;354308;171321
L47X;B127;287639;116602
L47X;E114;309476;137652
L47X;E119;300433;126624
L47X;E120;300433;126567
L47X;F129;309476;134115
L47X;I120;354308;170022
KD26;A203;359126;172743
KD26;D211;357333;125646
KD26;J209;298544;124901
KD26;T201;312493;144316
KD26;W205;344615;163240
KD26;BA221;356157;164691
KF86;B314;346015;164288
KF86;B315;349169;166675
KF86;D314;310589;135052
KF86;D315;308254;133075
KF86;E317;345240;163713
KF86;E322;308394;133201
KF86;F309;310036;134594
KF86;H302;350440;167365
KF86;J301;313274;137254
KF86;J315;309204;133880
KF86;J316;309204;133934
KF86;J329;349481;166840
KF86;M301;308554;133343
KF86;M309;311387;135658
KF86;M331;308596;133378
KF86;M332;308596;133418
KF86;N313;338020;157838
KF86;Q311;348933;166468
KF86;Q322;349433;166776
KF86;Q331;318501;141608
KF86;T303;310646;135087
KF86;T313;348899;166448
KF86;T318;310651;135090
KF86;U306;308969;144295
KF86;Y303;348958;166491
KF86;Y316;349452;166809
KF86;Y321;49565;133615
KF86;Y329;308898;133627
KF86;Z331;308996;133701
KF86;AA321;296155;150349
KF86;BA311;329891;166804
KF86;CA310;346020;164291
KF86;CA319;308982;133693
KF86;FA314;383837;153740
KF86;FA323;338478;158064
KF86;FA329;349149;166599
KF86;FA332;295453;150360
KF86;GA329;310629;135072
KF86;HA307;309210;133886
KF86;HA316;321217;143862
KF86;HA331;339854;159364
KF86;IA307;308958;133671
KF86;IA309;349237;166679
KF86;IA323;345877;164196
KF86;KA311;344501;163160
KF86;LA315;316871;140319
KF86;LA330;321500;144109
KF86;MA307;334248;154722
KF86;MA321;345390;163828
KF86;NA303;348293;166054
KF86;OA316;344398;163064
KF86;OA317;349451;167536
KF86;QA303;326167;147908
KF86;QA304;326167;147909
KF86;RA301;308523;133315
KN06;B504;344318;162987
KN06;C520;355113;170385
KN06;E507;344478;163141
KN06;F516;347786;165687
KN06;G507;347318;165356
KN06;H508;344400;163065
KN06;H509;346865;165027
KN06;I505;348348;166085
KN06;J517;349194;166707
KN06;J525;348785;166385
KN06;M514;344249;162911
KN06;M515;348169;165959
KN06;M526;350578;167454
KN06;N511;357269;171377
KN06;O501;352861;169086
KN06;P510;308917;170112
KN06;P516;350549;167419
KN06;P517;350543;167428
KN06;P518;313105;167737
KN06;Q510;350287;167237
KN06;R501;349283;166686
KN06;R521;352813;169012
KN06;S509;349283;166681
KN06;T517;352012;168130
KN06;T520;352098;168301
KN06;W506;299965;171053
KN06;W510;348324;166072
L110;A110;67306;7339
L110;B110;73254;10782
L110;K114;67290;7641
L110;M102;67256;7296
L110;O108;67815;7793
L110;R104;77547;13370
L110;R107;73504;10936
L110;T103;67998;7922
L110;V106;69798;9130
L110;V107;69798;9131
L110;V116;73578;10999
L110;A215;81151;15656
L110;A216;78408;13896
L110;B206;74528;11664
L110;B207;74528;11667
L110;I206;74465;11575
L110;I209;74523;11612
L130;Q3802;357235;171546
L220;D08;355551;170552
L220;D10;354467;170117
L242;I12;354411;170072
M692;L06;317082;140482
KH02;H218;344117;162817
KH02;MU0101;343526;162746
KH02;MU0102;343526;162747
KH02;MU0103;343526;162748
KH02;MU0104;343526;162749
KH02;MU0105;343526;163113
M082;B16;348482;166167
M082;M20;253356;166104
M082;C0139;342883;161760
M152;A312;67240;82693
M152;A313;67240;82635
M152;A314;67240;82634
M152;F306;67222;93008
M152;I308;314377;82517
M822;F417;278203;109528
M822;H403;278184;109508
M822;I410;277703;109116
M822;J407;296591;123457
M822;X410;291162;119331
M192;L105;275227;107260
M330;A04;426737;182651
M330;B13;348682;170788
M330;G12;361102;173788
M330;L01;328258;149628
M330;Q01;424238;181689
KG92;A209;323644;147406
KG92;B211;323542;145777
KG92;I212;356515;171066
KG92;K223;324548;146653
KG92;K226;323515;145755
KG92;K228;290258;145753
KG92;L201;323528;145766
KG92;L216;325987;147786
KG92;L219;348163;165953
KG92;M213;345930;164239
KG92;O202;348946;166480
KG92;P201;323472;145752
KG92;P216;323438;145692
KG92;P222;324215;146397
KG92;Q226;324437;146566
KG92;Q227;323431;149130
KG92;Q228;323523;145763
KG92;S218;350697;167514
M752;B102;322270;144761
M752;B121;290392;118760
M752;B123;290340;118707
M752;B127;351917;170154
M752;C112;290022;118451
M752;C118;356837;171141
M752;C120;354889;170256
M752;E121;339804;118694
M752;M111;290197;118599
M752;M112;290197;118601
M752;M113;290197;118602
M752;O126;310031;134590
M752;O134;319700;142631
M752;O138;359983;173212
M762;B116;349002;166532
M762;E122;345723;164069
M762;I115;292832;120555
M762;J113;348952;166488
M762;K107;348985;166514
M762;Q102;349593;166881
M762;R105;348802;166387
M762;R106;222602;166567
M762;R109;349334;166795
M762;R110;349334;166794
M762;S108;348789;166380
M762;S117;292587;120369
M762;T115;349147;166598
M916;R114;276535;108265
M952;A107;296280;123224
M952;A108;296324;123253
M952;A109;296297;123234
M952;D113;296367;123283
M952;I108;296373;123288
M952;K106;296308;123241
M952;K124;296275;123218
M992;C115;347191;165245
M992;H111;355527;170565
M992;C234;343444;162197
M992;D230;345693;170200
M992;D231;345693;170163
M992;F212;356506;170925
M152;Q318;243698;86492
M152;Q323;243566;82433
M152;Z314;244595;83426
M152;AB309;204672;163955
M152;AE310;11008;82658
M152;AE311;11008;82659
M152;AF311;243633;82490
M152;AG308;244351;83174
M152;C0603;67848;84548
M152;C0610;258709;94529
KQ02;Q335;351945;168804
KQ02;P326;352715;168862
KQ02;L309;352271;168346
KQ02;G332;351608;168685
KQ02;E333;354989;170325
KP92;N136;353580;169408
KP92;K106;357816;172090
KP92;N107;354995;170341
KP92;L130;353266;169499
KP92;R118;353389;169472
KP92;O132;353271;169509
KP92;E101;353465;169631
KT16;BA411;356583;170982
KT16;M407;353664;169608
KT16;I415;319146;170274
KT16;E416;353700;169553
KT16;G415;353954;169531
KT16;E417;353850;169739
KE42;S102;360228;173375
KE42;B108;355168;170428
KT33;L514;362079;174775
KT33;P515;361974;175447
KF22;I225;425925;182231
KZ22;IA202;403298;177630
KZ22;IA203;403489;177638
KZ22;IA208;360228;177736
KZ22;IA211;403463;177599
KJ82;Q0215;404594;178420
KJ82;Q0216;405265;178463
KJ82;Q0305;404412;178462
KJ82;Q0306;404412;178460
KJ82;Q0403;404412;178459
KJ82;Q0404;404412;178458
KJ82;Q0406;404496;178510
KJ82;Q0437;406199;178859
KJ82;Q0505;404481;178334
KJ82;Q0530;404972;178542
KJ82;Q0533;407519;179496
KJ82;Q0602;405048;178475
KJ82;Q0639;197104;178535
KJ82;Q0704;404511;178640
KJ82;Q0715;405002;178454
KJ82;Q0716;405002;178442
KJ82;Q0721;255941;178498
KJ82;Q0725;405010;178406
KJ82;Q0810;405020;178519
KJ82;Q0922;404483;178376
KJ32;BA102;429365;180884
KJ32;BA106;426867;182834
KJ32;BB101;427564;183064
KJ32;C106;85313;180672
KJ32;C110;409358;180517
KJ32;DB109;409297;180497
KJ32;EA103;409292;180579
KJ32;EA104;409623;180578
KJ32;GA106;428148;183294
KJ32;GB104;409358;180519
KJ32;IA104;427472;183016
KJ32;J102;47587;182767
KJ32;JA102;414428;180828
KJ32;JB103;409306;180457
KJ32;JB104;409306;180456
KJ32;NB106;427563;183063
KJ32;PA106;429670;183567
KJ32;XB101;424894;182066
KJ32;Y105;409755;180577
KT82;LA204;423960;181514
KT82;NA207;426653;182616
KT82;OA206;423616;181312
KT82;RA210;407945;179742
KT82;SA202;407750;179708
LA62;Q0235;408223;179959
LA62;Q0406;408163;180326
LA62;Q0409;408355;180409
LA62;Q0413;408260;180189
LA62;Q0506;413307;180669
LA62;Q0619;408320;179886
LA62;Q0701;408216;180327
LA62;Q0713;408204;179838
LA62;Q0717;183008;179883
LA62;Q0802;408279;179866
LA62;Q0806;408233;180203
LA62;Q0807;408231;179947
LA62;Q0808;408220;180434
LA62;Q0914;408272;179876
LA62;Q1005;408227;180416
LA62;Q1008;408287;179873
LA62;Q1013;408239;180024
LA62;Q1101;408322;179882
LA62;Q1112;408212;179888
LA62;Q1120;408268;179939
LA62;Q1203;408806;180778
LA62;Q1404;408236;179847
LA62;Q1501;408282;179860
LA62;Q1512;409027;180436
LA62;Q1513;409024;180494
LA62;Q1514;408275;179940
LA62;Q1803;408191;179858
KE82;Q0107;408632;180331
KE82;Q0108;408632;180332
KE82;Q0221;408498;180274
KE82;Q0308;408715;179976
KE82;Q0309;408715;179975
KE82;Q0310;408713;180032
KE82;Q0315;409106;180110
KE82;Q0518;409202;180393
KE82;Q0704;409135;180364
KE82;Q0919;409009;180239
