Divisão;Banco;DONO
L74X;ITAÚ;BRAZILIAN
K59X;ITAÚ;BRAZILIAN
L91X;ITAÚ;BRAZILIAN
L36X;ITAÚ;BRAZILIAN
K370;ITAÚ;BRAZILIAN
L47X;ITAÚ;BRAZILIAN
L58X;ITAÚ;BRAZILIAN
K05X;ITAÚ;BRAZILIAN
K01X;ITAÚ;AUSA
K01W;ITAÚ;AUSA
K02X;BRADESCO;FIDC
K03X;ITAÚ;AUSA
K76X;ITAÚ;AUSA
L25X;ITAÚ;AUSA
K97X;ITAÚ;AUSA
M322;BRADESCO;AUSA
M632;VOTORANTIM;AUSA
K04X;BRADESCO;NOVA MILANO
K07X;ITAÚ;AUSA
K11X;ITAÚ;AUSA
L73X;ITAÚ;AUSA
L01X;ITAÚ;AUSA
L33X;BRADESCO;FIDC
K12X;ITAÚ;AUSA
L01Y;ITAÚ;AUSA
K12W;ITAÚ;AUSA
K130;ITAÚ;AUSA
K872;ITAÚ;XP
L302;ITAÚ;XP
M012;ITAÚ;XP
L902;ITAÚ;XP
L05X;ITAÚ;XP
K19X;ITAÚ;AUSA
M372;BRADESCO;CAPTALYS
KX02;ITAÚ;AUSA
KF02;BRADESCO;FIDC
K60X;ITAÚ;XP
K20X;BRADESCO;AUSA
K20Y;ITAÚ;AUSA
K20W;ITAÚ;AUSA
K232;BRADESCO;AUSA
K242;SAFRA;AUSA
K272;BRADESCO;AUSA
KB82;BRADESCO;FIDC
K98X;BRADESCO;FIDC
K64W;BRADESCO;FIDC
K29W;BRADESCO;AUSA
K31X;ITAÚ;AUSA
L72L;ITAÚ;XP
M522;INDUSTRIAL;AUSA
K32X;ITAÚ;AUSA
L40X;INDUSTRIAL;AUSA
K33X;BRADESCO;AUSA
K342;BRADESCO;RBCAPITAL
K382;BRADESCO;RBCAPITAL
K45X;ITAÚ;AUSA
K45W;BRADESCO;AUSA
K862;BRADESCO;FIDC
K47X;BRADESCO;AUSA
K49X;ITAÚ;AUSA
K672;BRADESCO;FIDC
K73X;BRADESCO;AUSA
KA02;SAFRA;AUSA
KD26;BRADESCO;CAPTALYS
KE42;BRADESCO;AUSA
KF86;BRADESCO;CAPTALYS
KK22;BRADESCO;AUSA
KL26;BRADESCO;AUSA
KN06;BRADESCO;AUSA
KP66;ITAÚ;AUSA
KP72;ITAÚ;AUSA
KP92;BRADESCO;AUSA
KQ02;ITAÚ;AUSA
KT16;ITAÚ;AUSA
KT32;ITAÚ;AUSA
KT33;ITAÚ;AUSA
L130;ABC;AUSA
L186;ITAÚ;AUSA
L220;ITAÚ;AUSA
M692;BRADESCO;AUSA
L242;BRADESCO;AUSA
L84X;BRADESCO;FIDC
L32X;BRADESCO;AUSA
L992;BRADESCO;AUSA
L412;BRADESCO;FIDC
L42X;BRADESCO;AUSA
L592;BRADESCO;AUSA
M032;BRADESCO;FIDC
M052;BRADESCO;AUSA
M092;BRADESCO;AUSA
M152;ITAÚ;AUSA
M822;ITAÚ;AUSA
M622;BRADESCO;FIDC
M162;BRADESCO;NOVA MILANO
M172;ITAÚ;AUSA
M192;BRADESCO;FIDC
M252;BRADESCO;FIDC
M330;ITAÚ;AUSA
M412;BRADESCO;FIDC
M422;BRADESCO;AUSA
M462;BRADESCO;RBCAPITAL
M482;VOTORANTIM;AUSA
M512;BRADESCO;NOVA MILANO
M562;BRADESCO;FIDC
M612;BRADESCO;CAPTALYS
M712;BRADESCO;RBCAPITAL
M722;ABC;AUSA
M752;ABC;AUSA
KG92;BRADESCO;AUSA
M782;ITAÚ;AUSA
M916;BBM;BBM
M952;BRADESCO;AUSA
M953;ITAÚ;AUSA
M982;VOTORANTIM;AUSA
M992;VOTORANTIM;AUSA
KF22;ITAÚ;AUSA
KJ22;ITAÚ;AUSA
