Divisão;Empreendimento;Região;Tipo;Cluster Comercial;Data Lançamento;Data Entrega;Entregue?;Anotações
I030;CASAS ALPHAVILLE DOM PEDRO 0;Sudeste;Casas;Lançamento;25/03/2023;01/01/2000;Não;
K01W;ALPHAVILLE SALVADOR II COMERCIAL;Nordeste;Alphaville;Líquido;01/02/2006;28/07/2009;Sim;
K01X;ALPHAVILLE SALVADOR 2;Nordeste;Alphaville;Líquido;01/02/2006;28/07/2009;Sim;
K02L;ALPHAVILLE BURLEMARX;Sudeste;Alphaville;Líquido;01/05/2010;17/09/2011;Sim;
K02W;ALPHAVILLE SANT'ANNA COMERCIAL;Sudeste;Alphaville;Líquido;01/03/2005;09/12/2008;Sim;
K02X;ALPHAVILLE SANT'ANNA RESIDENCIAL;Sudeste;Alphaville;Líquido;01/03/2005;09/12/2008;Sim;
K03W;ALPHAVILLE RIO DAS OSTRAS COMERCIAL;Sudeste;Alphaville;Crítico;01/08/2007;22/06/2010;Sim;
K03X;ALPHAVILLE RIO DAS OSTRAS RESIDENCIAL;Sudeste;Alphaville;Crítico;01/08/2007;22/06/2010;Sim;
K04W;ALPHAVILLE CAMPO GRANDE 2;Centro-Oeste;Alphaville;Líquido;01/03/2007;16/08/2009;Sim;
K04X;ALPHAVILLE CAMPO GRANDE RESIDENCIAL;Centro-Oeste;Alphaville;Líquido;01/03/2007;16/08/2009;Sim;
K05W;ALPHAVILLE EUSEBIO  COMERCIAL;Nordeste;Alphaville;Líquido;01/09/2005;15/03/2008;Sim;
K05X;ALPHAVILLE EUSEBIO  RESIDENCIAL;Nordeste;Alphaville;Líquido;01/09/2005;15/03/2008;Sim;
K07W;ALPHAVILLE ARACAGY COMERCIAL;Nordeste;Alphaville;Líquido;01/09/2008;31/05/2010;Sim;
K07X;ALPHAVILLE ARACAGY;Nordeste;Alphaville;Líquido;01/09/2008;31/05/2010;Sim;
K11X;TERRAS ALPHA FOZ DO IGUACU 1;Sul;Terras;Normal;15/12/2009;19/03/2011;Sim;
K12W;ALPHAVILLE VITORIA  COMERCIAL;Sudeste;Alphaville;Líquido;01/09/2007;22/06/2010;Sim;
K12X;ALPHAVILLE VITORIA  RESIDENCIAL;Sudeste;Alphaville;Líquido;01/09/2007;22/06/2010;Sim;
K12Y;SPE VITORIA LTDA MULTIFAMILIAR;Sudeste;Alphaville;Líquido;01/12/2007;22/06/2010;Sim;
K130;ALPHAVILLE RIO COSTA DO SOL;Sudeste;Alphaville;Crítico;01/06/2009;20/09/2012;Sim;
K15W;ALPHAVILLE CUIABA COMERCIAL;Centro-Oeste;Alphaville;Líquido;01/11/2003;15/06/2006;Sim;
K15X;ALPHAVILLE CUIABA RESIDENCIAL;Centro-Oeste;Alphaville;Líquido;01/11/2003;15/06/2006;Sim;
K16W;ALPHAVILLE FORTALEZA COMERCIAL;Nordeste;Alphaville;Normal;01/05/2002;03/06/2005;Sim;
K16X;ALPHAVILLE FORTALEZA;Nordeste;Alphaville;Líquido;01/05/2002;03/06/2005;Sim;
K18X;ALPHAVILLE GRAMADO RESIDENCIAL;Sul;Alphaville;Líquido;01/05/2004;25/08/2007;Sim;
K18Y;ALPHAVILLE GRAMADO MULTIFAMILIAR;Sul;Alphaville;Líquido;01/05/2004;25/08/2007;Sim;
K19X;SPE ALPHAVILLE BRA ETAPA I;Centro-Oeste;Alphaville;Normal;01/06/2010;25/03/2015;Sim;
K20W;ALPHAVILLE GRAVATAI  COMERCIAL;Sul;Alphaville;Normal;01/06/2006;14/02/2009;Sim;
K20X;ALPHAVILLE GRAVATAÍ 1;Sul;Alphaville;Normal;01/06/2006;14/02/2009;Sim;
