Divisao;Unidade;Código Cliente;Projeto Financeiro;Mês base;Dono de Carteira;Segmento
I030;AA03;426185;182330;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
I030;AA04;425298;182073;30/04/2024;SEM DONO DE CARTEIRA;Exclusão
I030;AA06;426173;182338;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
I030;AA07;276678;183503;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
I030;AA10;44329;182386;30/04/2024;COBRANÇA INTERNA - NAYARA;Amigavel
I030;Y13;426785;182662;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
I030;Z04;425302;183466;30/04/2024;SEM DONO DE CARTEIRA;Preventivo
I030;Z15;425304;182055;30/04/2024;SEM DONO DE CARTEIRA;Exclusão
I030;Z16;426244;182388;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
K15X;H123;42055;RI627279;30/04/2024;ASSESSORIA TW - DULCE;Amigavel
K15X;V113;52111;RI627685;30/04/2024;SEM DONO DE CARTEIRA;Exclusão
K19X;A12;354759;170300;30/04/2024;ASSESSORIA TW - GUILHERME;AF
K19X;B08;386299;175929;30/04/2024;ASSESSORIA TW - DULCE;Amigavel
K19X;B22;391852;177172;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;B25;391849;177170;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;E08;336814;156795;30/04/2024;ASSESSORIA - VM RECOVERY;AF
K19X;E13;429530;183739;30/04/2024;COBRANÇA INTERNA - LUIZ;Ato
K19X;E18;407412;179429;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
K19X;G16;359233;172866;30/04/2024;ASSESSORIA - VM RECOVERY;Amigavel
K19X;G29;424184;181711;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;K03;391170;177075;30/04/2024;ASSESSORIA - VM RECOVERY;Amigavel
I030;AA09;284631;182074;30/04/2024;SEM DONO DE CARTEIRA;Exclusão
I030;Y03;426171;182334;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
I030;Z01;426182;182329;30/04/2024;COBRANÇA INTERNA - NAYARA;Em Dia
I030;Z11;426233;183485;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
I030;Z14;425302;182054;30/04/2024;SEM DONO DE CARTEIRA;Exclusão
K11X;143737;315139;138863;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K15X;T126;44251;RI627638;30/04/2024;ASSESSORIA TW - DULCE;Mediacao
K19X;B23;403062;177449;30/04/2024;ASSESSORIA - VM RECOVERY;Amigavel
K19X;B26;391849;177171;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;C03;356103;170784;30/04/2024;ASSESSORIA TW - DULCE;Amigavel
K19X;D03;344835;163385;30/04/2024;SEM DONO DE CARTEIRA;Exclusão
K19X;E24;315387;173437;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;F22;388832;176735;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;F28;354515;170060;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;G27;423584;181314;30/04/2024;SEM DONO DE CARTEIRA;Liminar
K19X;H05;357241;172109;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;I05;360319;173592;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
K19X;I07;354517;170121;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;K04;159749;23828;30/04/2024;ASSESSORIA TW - DULCE;Amigavel
K19X;N09;391780;172975;30/04/2024;ASSESSORIA - VM RECOVERY;Amigavel
K19X;R09;407253;179533;30/04/2024;COBRANÇA INTERNA - NAYARA;Preventivo
K19X;S16;333278;154453;30/04/2024;ASSESSORIA TW - DULCE;Mediacao
K19X;U08;350891;167665;30/04/2024;SEM DONO DE CARTEIRA;Liminar
K19X;Y16;408173;179839;30/04/2024;ASSESSORIA TW - GUILHERME;Amigavel
K19X;Z01;359206;172786;30/04/2024;ASSESSORIA - VM RECOVERY;AF
K232;A080;347639;165586;30/04/2024;COBRANÇA INTERNA - LUIZ;AF
K232;A082;345942;164249;30/04/2024;ASSESSORIA TW - GUILHERME;Amigavel
K232;C1001;319168;142174;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K232;E1016;252975;183886;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K232;U027;345049;163557;30/04/2024;SEM DONO DE CARTEIRA;Liminar
K872;B20;359064;172834;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K872;K11;346360;164537;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K872;K14;362424;172727;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
K97X;Q1703;198282;48739;30/04/2024;ASSESSORIA - VM RECOVERY;Amigavel
KD26;B216;406180;125009;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;BA211;300118;126325;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;BA225;342495;161445;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;C212;427231;182913;30/04/2024;COBRANÇA INTERNA - NAYARA;AF
