Divisao;Unidade;Código Cliente;Projeto Financeiro;Mês base
K03X;X125;45234;;01/08/2015
K73X;AB04;299671;;01/08/2015
L902;D17;222526;;01/08/2015
K272;R22;229167;;01/08/2015
L84X;A311;179126;;01/08/2015
M052;AH02;241430;;01/08/2015
K382;AD06;229451;;01/08/2015
M162;H01;252854;;01/08/2015
M512;R131;283034;;01/08/2015
M512;R132;283034;;01/08/2015
K73X;C25;196664;;01/08/2015
K272;R24;228649;;01/08/2015
K342;D205;215757;;01/08/2015
M722;F03;278123;;01/08/2015
L902;J22;221669;;01/08/2015
L36X;V12;221423;;01/08/2015
L36X;AE06;242487;;01/08/2015
L25X;H203;158505;;01/08/2015
L902;F20;221381;;01/08/2015
K272;S20;228461;;01/09/2015
M012;B307;221399;;01/09/2015
L902;J21;220646;;01/09/2015
L902;G05;220762;;01/09/2015
M722;K01;292010;;01/09/2015
L84X;A1213;204895;;01/09/2015
K59X;G203;166521;;01/09/2015
M052;AY09;250313;;01/09/2015
M052;AW12;250313;;01/09/2015
L33X;4L14;167733;;01/09/2015
L902;E11;221652;;01/09/2015
L902;J23;221652;;01/09/2015
L01X;3U16;291024;;01/09/2015
KA02;V119;300418;;01/09/2015
L36X;AC07;242198;;01/09/2015
L902;J30;220884;;01/09/2015
L902;G28;305571;;01/09/2015
L902;C05;220860;;01/09/2015
M722;R06;279771;;01/09/2015
L74X;L16;180639;;01/09/2015
L74X;L15;180639;;01/09/2015
K76X;B307;268829;;01/09/2015
L32X;C126;36347;;01/09/2015
L902;A14;221341;;01/09/2015
L902;J25;256906;;01/09/2015
K342;H111;215895;;01/09/2015
L902;J06;221248;;01/09/2015
L32X;B1025;262733;;01/09/2015
L36X;B08;299187;;01/09/2015
K12X;2X04;291248;;01/09/2015
K672;X19;257644;;01/09/2015
M722;J02;286708;;01/09/2015
M412;U06;252524;;01/10/2015
K73X;AA05;293113;;01/10/2015
L84X;A826;274615;;01/10/2015
L36X;S09;206861;;01/10/2015
M052;AO03;236980;;01/10/2015
M052;AA08;236980;;01/10/2015
L36X;AB04;221471;;01/11/2015
L25X;P212;295264;;01/11/2015
L36X;I06;206751;;01/11/2015
L84X;A319;273846;;01/11/2015
KA02;U114;298920;;01/11/2015
KA02;U113;298920;;01/11/2015
K342;O223;215618;;01/11/2015
K342;O224;215618;;01/11/2015
K272;G06;228697;;01/11/2015
M722;T10;285479;;01/11/2015
M722;T09;285479;;01/11/2015
L25X;I204;274135;;01/12/2015
M612;AG108;271022;;01/12/2015
K272;E09;228762;;01/12/2015
M712;P102;277950;;01/12/2015
M712;P103;277950;;01/12/2015
K342;S202;223149;;01/01/2016
K342;S203;223149;;01/01/2016
K272;Z03;229172;;01/01/2016
L74X;V41;181195;;01/01/2016
L84X;A1309;280561;;01/01/2016
L74X;Z06;314646;;01/01/2016
M162;T04;253146;;01/01/2016
L84X;A917;177122;;01/01/2016
K12X;2AF12;302904;;01/01/2016
L32X;B1701;288813;;01/01/2016
K12X;2K04;301656;;01/01/2016
K342;C204;303116;;01/01/2016
L36X;M24;207091;;01/01/2016
L36X;AF02;222194;;01/01/2016
L36X;I05;206739;;01/01/2016
L36X;S05;209955;;01/01/2016
K73X;W01;194905;;01/01/2016
L84X;A327;295273;;01/01/2016
K342;H106;266621;;01/01/2016
K73X;K16;262925;;01/02/2016
K12X;2N04;297741;;01/02/2016
M612;J120;296160;;01/02/2016
KA02;H139;298712;;01/02/2016
L36X;AE04;268859;;01/02/2016
KA02;E116;299030;;01/02/2016
L74X;P06;277894;;01/02/2016
M162;M01;249875;;01/02/2016
M162;X03;249875;;01/02/2016
L84X;A1326;35790;;01/02/2016
K342;H204;281735;;01/02/2016
L33X;4L01;292889;;01/02/2016
M052;AD32;239371;;01/02/2016
L58X;S03;206380;;01/02/2016
M162;A08;250808;;01/02/2016
L74X;Z27;288085;;01/02/2016
L74X;Z28;288085;;01/02/2016
K342;H215;256968;;01/02/2016
K342;D212;316456;;01/02/2016
L74X;Y36;180792;;01/02/2016
M562;U130;300106;;01/02/2016
L902;L16;274389;;01/02/2016
L36X;P14;207047;;01/02/2016
M162;N08;249985;;01/02/2016
L74X;M01;181354;;01/02/2016
L36X;H19;206693;;01/02/2016
M512;B104;282625;;01/03/2016
M512;V106;282625;;01/03/2016
M162;K06;249883;;01/03/2016
K272;B07;229507;;01/03/2016
K59X;H204;301367;;01/03/2016
M162;T05;253360;;01/03/2016
K672;L08;252625;;01/03/2016
K672;K21;252625;;01/03/2016
L74X;N27;181609;;01/03/2016
M162;U21;250395;;01/03/2016
K76X;H302;274523;;01/03/2016
L74X;M46;224332;;01/03/2016
L74X;M47;224332;;01/03/2016
KA02;H101;298101;;01/03/2016
K272;G09;228560;;01/03/2016
K272;T08;244113;;01/03/2016
M712;X115;281005;;01/03/2016
K272;B08;229237;;01/03/2016
K272;D01;228931;;01/03/2016
M622;M09;297282;;01/03/2016
M252;Q1342;305100;;01/03/2016
L74X;N19;301679;;01/03/2016
L32X;C109;177953;;01/03/2016
L25X;Q205;274505;;01/03/2016
K73X;A10;194601;;01/03/2016
M052;AL01;236575;;01/03/2016
L36X;F20;206869;;01/03/2016
K73X;X15;241400;;01/03/2016
M712;T108;272657;;01/03/2016
L36X;AD07;242646;;01/03/2016
L36X;AA01;242646;;01/03/2016
L36X;T04;210001;;01/03/2016
L91X;C36;221507;;01/03/2016
M162;L04;250625;;01/04/2016
M622;O03;316200;;01/04/2016
L36X;E15;307187;;01/04/2016
L25X;I216;285703;;01/04/2016
L25X;P202;274785;;01/04/2016
M722;M10;278299;;01/04/2016
M162;R20;264036;;01/04/2016
L32X;C119;176654;;01/04/2016
L36X;M17;207058;;01/04/2016
KB82;N419;298215;;01/04/2016
L25X;Z216;294055;;01/04/2016
M162;W16;250029;;01/04/2016
M162;W15;250029;;01/04/2016
M722;K04;278172;;01/04/2016
M052;AT18;237012;;01/04/2016
M512;X109;282893;;01/04/2016
M052;BA22;237046;;01/04/2016
M612;B114;270620;;01/04/2016
K73X;AB10;236932;;01/04/2016
L36X;U05;242176;;01/04/2016
M172;E108;264605;;01/04/2016
M612;X106;285183;;01/04/2016
M612;X107;285183;;01/04/2016
L84X;A1001;218101;;01/04/2016
L32X;B710;178387;;01/04/2016
L32X;B631;178387;;01/04/2016
L32X;B632;178387;;01/04/2016
KB82;G409;298294;;01/04/2016
K672;W31;253638;;01/04/2016
K672;W32;253638;;01/04/2016
L36X;X01;234667;;01/04/2016
K342;W210;216214;;01/05/2016
M622;G08;281188;;01/05/2016
K342;W209;216214;;01/05/2016
M252;Q1615;306445;;01/05/2016
M712;EA102;278647;;01/05/2016
K73X;H02;197465;;01/05/2016
M162;S11;252911;;01/05/2016
L58X;X04;227441;;01/05/2016
L25X;I236;292635;;01/05/2016
M712;W108;304115;;01/05/2016
K73X;X18;194575;;01/05/2016
K33X;AA104;176554;;01/05/2016
L84X;A1004;274985;;01/05/2016
L05X;Q08;269868;;01/05/2016
KB82;H409;298319;;01/05/2016
L84X;A224;177002;;01/05/2016
L84X;A225;177002;;01/05/2016
L84X;A1024;177002;;01/05/2016
L84X;A1025;177002;;01/05/2016
L84X;A1026;177002;;01/05/2016
L84X;A1029;177002;;01/05/2016
L32X;B1212;177002;;01/05/2016
L32X;B1213;177002;;01/05/2016
L74X;V03;181665;;01/05/2016
M162;M18;249978;;01/05/2016
KA02;H117;298715;;01/05/2016
KB82;J413;298276;;01/05/2016
L32X;B407;173818;;01/05/2016
KB82;A405;298967;;01/06/2016
K342;C0205;215771;;01/06/2016
L42X;520030;258334;;01/06/2016
L33X;4F06;319105;;01/06/2016
K60X;I204;248336;;01/06/2016
M612;I122;270598;;01/06/2016
M512;F103;282696;;01/06/2016
M172;K118;274525;;01/06/2016
KA02;H118;299843;;01/06/2016
M012;J304;278437;;01/06/2016
M562;U131;300863;;01/06/2016
M512;I115;320056;;01/06/2016
L412;J24;56610;;01/06/2016
M612;D106;271271;;01/06/2016
M612;B109;270064;;01/06/2016
KB82;E403;298908;;01/06/2016
M162;C03;249832;;01/06/2016
KA02;T104;298371;;01/06/2016
M562;O101;300423;;01/06/2016
KB82;F430;303902;;01/06/2016
M012;H317;222495;;01/06/2016
K73X;M04;255268;;01/06/2016
K272;P05;228416;;01/06/2016
KA02;U120;300416;;01/06/2016
M612;Y108;252590;;01/06/2016
M612;Y109;252590;;01/06/2016
K672;T04;252570;;01/06/2016
L33X;4N02;322125;;01/06/2016
K672;K07;317461;;01/06/2016
K12X;2AD02;271849;;01/06/2016
M982;D228;311071;;01/06/2016
L74X;M36;248207;;01/06/2016
L33X;Q1405;230292;;01/06/2016
K73X;I07;194770;;01/06/2016
L36X;Z08;241924;;01/06/2016
L36X;Z09;241924;;01/06/2016
L36X;Z07;241924;;01/06/2016
M612;V111;301315;;01/06/2016
K672;W25;253490;;01/06/2016
L302;G04;238352;;01/06/2016
L36X;T10;221308;;01/06/2016
KA02;H121;259999;;01/06/2016
K98X;D223;254661;;01/06/2016
K672;I32;253479;;01/07/2016
K342;AA204;243225;;01/07/2016
M612;Y119;271441;;01/07/2016
M612;AB115;270540;;01/07/2016
L74X;U04;182969;;01/07/2016
M622;O16;281545;;01/07/2016
K272;C17;228524;;01/07/2016
L992;B15;259325;;01/07/2016
L992;B16;259325;;01/07/2016
M162;C24;253278;;01/07/2016
M462;M01;273625;;01/07/2016
M982;G106;310922;;01/07/2016
K12X;2AH03;290840;;01/07/2016
M982;S213;311023;;01/07/2016
M612;I110;271390;;01/07/2016
K672;M06;253565;;01/07/2016
M462;T07;270928;;01/07/2016
K672;B11;252389;;01/07/2016
L58X;R03;206433;;01/07/2016
L58X;C0303;252593;;01/07/2016
M712;EA109;272617;;01/07/2016
L592;AB03;250842;;01/07/2016
L32X;B1124;176979;;01/07/2016
M462;I18;207394;;01/07/2016
K272;AH06;228695;;01/07/2016
K272;T18;305071;;01/07/2016
M712;C0102;281088;;01/08/2016
M162;S07;252180;;01/08/2016
L25X;P210;260515;;01/08/2016
K272;Z08;293631;;01/08/2016
K242;Z27;306454;;01/08/2016
M162;F07;252783;;01/08/2016
K272;AB19;228472;;01/08/2016
M512;T103;282718;;01/08/2016
M712;A106;272379;;01/08/2016
M722;AC04;279357;;01/08/2016
K73X;X05;195248;;01/08/2016
K272;S19;286315;;01/08/2016
M712;EA123;272446;;01/08/2016
M712;EA124;272446;;01/08/2016
K242;Z29;304654;;01/08/2016
M612;AF115;252296;;01/08/2016
K672;V01;252296;;01/08/2016
K672;F02;252296;;01/08/2016
K672;V36;252296;;01/08/2016
M622;Q25;265815;;01/08/2016
L902;L04;221268;;01/08/2016
L902;M05;18837;;01/08/2016
L902;P09;18837;;01/08/2016
L902;M04;18837;;01/08/2016
L902;P10;18837;;01/08/2016
L902;P11;18837;;01/08/2016
M162;C02;250113;;01/08/2016
L36X;C02;206981;;01/08/2016
K672;K10;305619;;01/08/2016
L33X;Q705;249293;;01/08/2016
L36X;V08;241910;;01/08/2016
M412;T01;252124;;01/08/2016
M412;C02;251577;;01/08/2016
M052;AB05;283116;;01/08/2016
L58X;E13;207394;;01/08/2016
M462;N12;238411;;01/08/2016
M462;N11;238411;;01/08/2016
M512;W117;283610;;01/08/2016
KA02;C112;322026;;01/08/2016
L902;K01;220738;;01/08/2016
M462;M03;271007;;01/08/2016
M462;M02;271007;;01/08/2016
M722;L14;278196;;01/08/2016
M162;B18;251442;;01/08/2016
M162;V13;252784;;01/08/2016
M162;F02;249893;;01/08/2016
M032;N10;260783;;01/08/2016
M032;J19;260783;;01/08/2016
L36X;C21;206981;;01/08/2016
M722;W09;317734;;01/08/2016
L902;J32;221268;;01/08/2016
L84X;A1230;175320;;01/08/2016
M252;Q0701;305179;;01/08/2016
L74X;O30;278632;;01/09/2016
L74X;O29;278632;;01/09/2016
M162;D04;250850;;01/09/2016
L32X;B605;205580;;01/09/2016
L32X;B604;205580;;01/09/2016
L32X;B701;205580;;01/09/2016
L32X;B1036;205580;;01/09/2016
M162;U12;249994;;01/09/2016
M162;T15;250608;;01/09/2016
M162;T16;250608;;01/09/2016
K03X;X103;240761;;01/09/2016
M562;F102;317883;;01/09/2016
M562;F103;317883;;01/09/2016
M612;AB105;270263;;01/09/2016
M562;Q116;300334;;01/09/2016
M562;Q108;300334;;01/09/2016
M562;Q117;300334;;01/09/2016
L902;D32;220669;;01/09/2016
M712;T106;272910;;01/09/2016
M712;AA111;251811;;01/09/2016
M712;AA112;251811;;01/09/2016
M612;AA103;284467;;01/09/2016
K76X;C302;77173;;01/09/2016
M612;E103;178861;;01/09/2016
K59X;A209;178861;;01/09/2016
M622;Q28;285157;;01/09/2016
M512;F113;282842;;01/09/2016
M512;A111;283250;;01/09/2016
M162;V04;252085;;01/09/2016
K242;Y07;304666;;01/09/2016
M722;P10;281630;;01/09/2016
M462;H03;270768;;01/09/2016
L58X;K01;206367;;01/09/2016
M622;R01;266134;;01/09/2016
M162;O13;250716;;01/09/2016
M712;AA104;273509;;01/09/2016
M622;G09;265011;;01/09/2016
M622;G10;265011;;01/09/2016
M722;P14;271123;;01/09/2016
K272;J09;294697;;01/09/2016
K272;U08;229581;;01/09/2016
K73X;K04;168741;;01/09/2016
L74X;V31;180660;;01/09/2016
L36X;Z01;241952;;01/09/2016
M462;K07;274363;;01/09/2016
K342;D202;216524;;01/10/2016
M512;I114;319802;;01/10/2016
M722;AF18;294465;;01/10/2016
M722;AF17;294465;;01/10/2016
KA02;B115;329713;;01/10/2016
M482;R107;287979;;01/10/2016
M512;K131;283333;;01/10/2016
M712;J109;273247;;01/10/2016
M172;J129;291025;;01/10/2016
M512;Z118;307031;;01/10/2016
M512;S105;307058;;01/10/2016
L412;H05;258083;;01/10/2016
M052;AD04;271647;;01/10/2016
M052;AF34;237486;;01/10/2016
KA02;B119;299400;;01/10/2016
M562;X103;312474;;01/10/2016
M562;U126;299276;;01/10/2016
M562;J124;299276;;01/10/2016
M562;H131;299349;;01/10/2016
M252;Q0922;305095;;01/10/2016
K272;R25;228567;;01/10/2016
K272;M01;228818;;01/10/2016
M722;O08;279305;;01/10/2016
M722;N13;289998;;01/10/2016
K672;U26;268850;;01/10/2016
M722;D03;329281;;01/10/2016
M722;E11;284902;;01/10/2016
M722;Q07;49487;;01/10/2016
M722;L02;337838;;01/10/2016
M612;P110;270562;;01/10/2016
M722;N02;293128;;01/10/2016
K382;F06;324492;;01/10/2016
K382;S16;221993;;01/10/2016
L992;S09;232183;;01/10/2016
L36X;Z20;241917;;01/10/2016
L992;M11;209949;;01/10/2016
K98X;L207;242222;;01/10/2016
M012;I306;262894;;01/10/2016
K242;P09;304211;;01/11/2016
M252;Q2021;318990;;01/11/2016
L33X;4C03;318982;;01/11/2016
M622;A01;251797;;01/11/2016
M172;F113;282238;;01/11/2016
KA02;C142;300086;;01/11/2016
K242;AA20;304643;;01/11/2016
K242;X17;304643;;01/11/2016
M712;H111;273231;;01/11/2016
M712;H110;273231;;01/11/2016
M712;AA101;273629;;01/11/2016
M712;AA102;273629;;01/11/2016
M712;X106;273626;;01/11/2016
M712;X107;273626;;01/11/2016
M982;L203;313219;;01/11/2016
L42X;440274;182904;;01/11/2016
M712;F112;273450;;01/11/2016
M032;X11;276250;;01/11/2016
M512;C111;283602;;01/11/2016
M562;H134;299517;;01/11/2016
M712;T118;272769;;01/11/2016
M712;T117;272769;;01/11/2016
M512;G102;303704;;01/11/2016
M982;D104;311193;;01/11/2016
K60X;G220;323246;;01/11/2016
L01X;3Z05;306404;;01/11/2016
L42X;520045;252187;;01/11/2016
K272;D11;229828;;01/11/2016
K272;AD21;229544;;01/11/2016
M722;AD06;279173;;01/11/2016
L902;E20;230806;;01/11/2016
M722;Q11;279458;;01/11/2016
M162;B09;251663;;01/11/2016
M162;V03;250008;;01/11/2016
L902;N06;220627;;01/11/2016
K59X;F211;257557;;01/11/2016
M722;T02;317982;;01/11/2016
M612;I111;271666;;01/11/2016
M612;AF111;270420;;01/11/2016
L36X;F21;206765;;01/11/2016
M462;I11;307685;;01/11/2016
M462;F01;271052;;01/11/2016
L992;N20;300813;;01/11/2016
L992;H05;258878;;01/11/2016
L992;M23;320335;;01/11/2016
L36X;N28;207226;;01/11/2016
M482;F125;287462;;01/11/2016
M482;F124;287462;;01/11/2016
L25X;J208;300065;;01/11/2016
M482;W110;286583;;01/11/2016
M482;H114;329133;;01/11/2016
L992;N03;206287;;01/11/2016
L992;AD11;330411;;01/11/2016
L36X;D12;206607;;01/11/2016
KB82;E410;299574;;01/11/2016
M012;Q307;289217;;01/11/2016
K98X;E226;226542;;01/11/2016
M012;G307;222261;;01/11/2016
M052;AT13;238649;;01/12/2016
L42X;460054;317889;;01/12/2016
L33X;4K05;301290;;01/12/2016
L84X;A932;273997;;01/12/2016
K342;I213;285850;;01/12/2016
KF02;B319;318886;;01/12/2016
KF02;B318;318886;;01/12/2016
M712;EA108;272359;;01/12/2016
K342;C217;214979;;01/12/2016
L42X;310099;300437;;01/12/2016
K342;G202;215924;;01/12/2016
M252;Q1343;305102;;01/12/2016
M712;G123;272883;;01/12/2016
L42X;600137;270021;;01/12/2016
K342;Q214;328402;;01/12/2016
KA02;K151;304866;;01/12/2016
M162;V19;250022;;01/12/2016
K672;S08;291020;;01/12/2016
K672;U08;252365;;01/12/2016
K672;P33;252594;;01/12/2016
K672;I01;252576;;01/12/2016
K672;L16;252576;;01/12/2016
M612;X113;316920;;01/12/2016
M612;Z103;270357;;01/12/2016
M622;P29;326568;;01/12/2016
M722;S13;278152;;01/12/2016
K672;Q11;284602;;01/12/2016
M722;K08;62042;;01/12/2016
K672;Q14;253117;;01/12/2016
M162;A04;252153;;01/12/2016
K672;T12;252392;;01/12/2016
K672;T10;252392;;01/12/2016
K672;H03;252665;;01/12/2016
M612;AC104;275175;;01/12/2016
M622;A05;265111;;01/12/2016
L74X;Y37;181915;;01/12/2016
K382;T02;298887;;01/12/2016
L592;LB10;250665;;01/12/2016
L592;LB11;249734;;01/12/2016
M462;I09;271476;;01/12/2016
M462;K02;270757;;01/12/2016
M012;G315;261635;;01/12/2016
KB82;H401;313760;;01/12/2016
KB82;B423;297931;;01/12/2016
KB82;F431;322223;;01/12/2016
KA02;C113;334317;;01/01/2017
L33X;4L02;301561;;01/01/2017
M172;K204;341375;;01/01/2017
M052;AZ06;238992;;01/01/2017
M052;AK13;312669;;01/01/2017
M512;C116;282658;;01/01/2017
L42X;400096;296733;;01/01/2017
KA02;B118;298154;;01/01/2017
M722;U07;252576;;01/01/2017
K672;L15;252576;;01/01/2017
K672;T27;252302;;01/01/2017
M612;Y120;293648;;01/01/2017
K672;C15;323605;;01/01/2017
M612;AF102;285399;;01/01/2017
M622;P12;264935;;01/01/2017
M162;S02;250016;;01/01/2017
M162;U02;252800;;01/01/2017
M162;B13;323356;;01/01/2017
K672;P34;264747;;01/01/2017
M722;P01;282106;;01/01/2017
M162;G17;250693;;01/01/2017
M722;L20;317622;;01/01/2017
KB82;H416;300675;;01/01/2017
KB82;H430;333829;;01/01/2017
M012;Q303;304276;;01/01/2017
L592;VB07;324053;;01/01/2017
L992;AC14;334570;;01/01/2017
L592;QB07;250775;;01/01/2017
M462;G19;177308;;01/01/2017
M462;G15;271350;;01/01/2017
KA02;D132;299192;;01/02/2017
M052;AK19;236537;;01/02/2017
K342;K109;215478;;01/02/2017
M172;J226;328200;;01/02/2017
KA02;H140;299536;;01/02/2017
M712;M104;318605;;01/02/2017
M712;M105;318605;;01/02/2017
M712;EA101;283196;;01/02/2017
M722;F06;270558;;01/02/2017
M612;K116;270558;;01/02/2017
M612;C0310;290475;;01/02/2017
K672;U15;253187;;01/02/2017
L902;N14;220637;;01/02/2017
M622;H30;311268;;01/02/2017
M162;P03;257105;;01/02/2017
M162;R14;252098;;01/02/2017
M162;K13;289478;;01/02/2017
M162;C12;251452;;01/02/2017
M162;I10;253166;;01/02/2017
M162;I11;253166;;01/02/2017
K73X;U09;302110;;01/02/2017
M462;S19;271283;;01/02/2017
L36X;F13;206817;;01/02/2017
L992;V09;325731;;01/02/2017
L992;M20;311373;;01/02/2017
M012;J307;304259;;01/02/2017
KB82;O409;302899;;01/02/2017
KB82;O408;324807;;01/02/2017
KB82;L405;328055;;01/02/2017
