Divisão;Unidade
K242;D01
K242;D02
K242;D03
K242;D04
K242;D05
K242;D06
K242;D07
K242;D08
K242;D09
K242;D10
K242;D11
K242;D12
K242;D13
K242;D14
K242;D15
K242;D16
K242;D17
K242;D18
K242;E01
K242;E02
K242;E03
K242;E04
K242;E05
K242;E06
K242;E07
K242;E08
K242;E09
K242;E10
K242;E11
K242;E12
K242;E13
K242;E14
K242;E15
K242;E16
K242;E17
K242;E18
K242;E19
K242;E20
K242;E21
K242;E22
K242;E23
K242;E24
K242;E25
K242;E26
K242;G01
K242;G02
K242;G03
K242;G04
K242;G05
K242;G06
K242;G07
K242;G08
K242;G09
K242;G10
K242;G11
K242;G12
K242;G13
K242;G14
K242;G15
K242;G16
K242;G17
K242;G18
K242;G19
K242;G20
K242;G21
K242;G22
K242;G23
K242;G24
K242;G25
K242;G26
K242;G27
K242;G28
K242;G29
K242;G30
K242;G31
K242;G32
K242;G33
K242;G34
K242;G35
K242;H01
K242;H02
K242;H03
K242;H04
K242;H05
K242;H06
K242;H07
K242;H08
K242;H09
K242;H10
K242;H11
K242;H12
K242;H13
K242;H14
K242;H15
K242;H16
K242;H17
K242;H18
K242;H19
K242;H20
K242;H21
K242;H22
K242;H23
K242;H24
K242;H25
