Divisao;Unidade;Código Cliente;Mês base
L32X;B210;348661;01/10/2018
L84X;A1307;348639;01/10/2018
L84X;A1308;348639;01/10/2018
L84X;A1417;348661;01/10/2018
L84X;A1418;348661;01/10/2018
M752;B124;348600;01/10/2018
M752;C106;348627;01/10/2018
M752;D106;348655;01/10/2018
M752;D128;348655;01/10/2018
M752;G108;348595;01/10/2018
M752;G112;348584;01/10/2018
M752;L104;348582;01/10/2018
M752;N130;348582;01/10/2018
M752;O131;348646;01/10/2018
M752;O132;348569;01/10/2018
L84X;A1320;348661;01/10/2018
M752;A107;348863;01/10/2018
M752;B108;349004;01/10/2018
M752;N114;348884;01/10/2018
M752;N115;348936;01/10/2018
M622;G20;347428;01/10/2018
M052;AA15;350687;01/10/2018
M052;AH07;350471;01/10/2018
M052;AS22;350473;01/10/2018
M192;L112;350431;01/10/2018
M192;Q105;350666;01/10/2018
M052;AU03;350952;01/10/2018
M162;C0104;264036;01/10/2018
M162;C0105;350791;01/10/2018
M162;C0106;350791;01/10/2018
M162;C0119;350791;01/10/2018
M192;G114;351013;01/10/2018
M192;G115;350866;01/10/2018
M192;Q107;350794;01/10/2018
M192;R107;351008;01/10/2018
M052;AC02;351166;01/11/2018
M052;AC03;351166;01/11/2018
M052;AC04;351166;01/11/2018
M052;AD21;351155;01/11/2018
M052;AO25;350626;01/11/2018
M052;AR21;351157;01/11/2018
M052;AT14;351056;01/11/2018
M052;AV07;350844;01/11/2018
M052;BA11;351098;01/11/2018
M192;F114;351318;01/11/2018
M192;V108;319994;01/11/2018
L32X;B503;351593;01/12/2018
M052;BA07;351223;01/12/2018
M162;C0103;351395;01/12/2018
L42X;280214;352655;01/01/2019
M052;AG02;352411;01/01/2019
M052;AL02;352013;01/01/2019
M052;AU02;352448;01/01/2019
M052;AU04;352459;01/01/2019
M052;BA13;352217;01/01/2019
M192;A110;347094;01/01/2019
M192;F115;352626;01/01/2019
M982;S119;352420;01/01/2019
M052;AG03;352540;01/02/2019
M052;AO03;352740;01/02/2019
M052;AU05;352939;01/02/2019
M052;AZ13;352941;01/02/2019
M192;T101;352890;01/02/2019
M192;T126;352773;01/02/2019
M192;X113;352895;01/02/2019
M052;AK29;236642;01/03/2019
M052;AK30;352600;01/03/2019
M052;AP01;353023;01/03/2019
M192;I101;353186;01/03/2019
M982;A122;353042;01/03/2019
M982;A231;353121;01/03/2019
M982;D104;352889;01/03/2019
M982;O208;353143;01/03/2019
M982;O209;353143;01/03/2019
