Divisão;Unidade;Código Cliente;Projeto Financeiro;Mês base;Score
K20X;B109;65470;;01/08/2018;Score zero
I030;AA01;426191;182419;01/04/2024;Não - <60 dias
I030;AA03;426185;182330;01/04/2024;Não - <60 dias
I030;AA04;425298;182073;01/04/2024;Não - <60 dias
I030;AA06;426173;182338;01/04/2024;Não - <60 dias
I030;AA07;276678;183503;01/04/2024;Não - <60 dias
I030;AA09;284631;182074;01/04/2024;Não - <60 dias
I030;AA10;44329;182386;01/04/2024;Não - <60 dias
I030;AA11;407317;182337;01/04/2024;Não - <60 dias
I030;AA12;426177;182333;01/04/2024;Não - <60 dias
I030;Y03;426171;182334;01/04/2024;Não - <60 dias
I030;Y11;426147;182336;01/04/2024;Não - <60 dias
I030;Y13;426785;182662;01/04/2024;Não - <60 dias
I030;Z01;426182;182329;01/04/2024;Não - <60 dias
I030;Z02;426176;182331;01/04/2024;Não - <60 dias
I030;Z04;425302;183466;01/04/2024;Não - <60 dias
I030;Z06;426470;182513;01/04/2024;Não - <60 dias
I030;Z09;407644;183562;01/04/2024;Não - <60 dias
I030;Z10;426839;182678;01/04/2024;Não - <60 dias
I030;Z11;426233;183485;01/04/2024;Não - <60 dias
I030;Z14;425302;182054;01/04/2024;Não - <60 dias
I030;Z15;425304;182055;01/04/2024;Não - <60 dias
I030;Z16;426244;182388;01/04/2024;Não - <60 dias
I030;Z17;58759;182335;01/04/2024;Não - <60 dias
K11X;143737;315139;138863;01/04/2024;Não - <60 dias
K11X;144507;265394;99858;01/04/2024;Sim
K15X;H123;42055;RI627279;01/04/2024;Não - <60 dias
K15X;H124;42055;RI627280;01/04/2024;Não - <60 dias
K15X;T126;44251;RI627638;01/04/2024;Não - <60 dias
K15X;V113;52111;RI627685;01/04/2024;Não - <60 dias
K19X;A01;352914;169171;01/04/2024;Não - Em Processamento
K19X;A12;354759;170300;01/04/2024;Não - <60 dias
K19X;A17;359233;172864;01/04/2024;Sim
K19X;B04;424059;181676;01/04/2024;Não - <60 dias
K19X;B08;386299;175929;01/04/2024;Sim
K19X;B20;391815;177158;01/04/2024;Não - <60 dias
K19X;B22;391852;177172;01/04/2024;Não - <60 dias
K19X;B23;403062;177449;01/04/2024;Sim
K19X;B24;391849;177169;01/04/2024;Não - <60 dias
K19X;B25;391849;177170;01/04/2024;Não - <60 dias
K19X;B26;391849;177171;01/04/2024;Não - <60 dias
K19X;B27;408986;180063;01/04/2024;Não - <60 dias
K19X;C03;356103;170784;01/04/2024;Sim
K19X;D03;344835;163385;01/04/2024;Não - Black List
K19X;E08;336814;156795;01/04/2024;Sim
K19X;E13;429530;183739;01/04/2024;Não - <60 dias
K19X;E18;407412;179429;01/04/2024;Não - <60 dias
K19X;E24;315387;173437;01/04/2024;Sim
K19X;F22;388832;176735;01/04/2024;Sim
K19X;F28;354515;170060;01/04/2024;Sim
K19X;F30;360132;173454;01/04/2024;Não - Registro Ar - Endereco Insuficiente
K19X;G16;359233;172866;01/04/2024;Sim
K19X;G27;423584;181314;01/04/2024;Não - Black List
K19X;G29;424184;181711;01/04/2024;Não - <60 dias
K19X;H05;357241;172109;01/04/2024;Não - <60 dias
K19X;I05;360319;173592;01/04/2024;Não - <60 dias
K19X;I07;354517;170121;01/04/2024;Não - <60 dias
K19X;I11;359431;173438;01/04/2024;Sim
K19X;I26;300700;128471;01/04/2024;Não - >5Anos
K19X;K03;391170;177075;01/04/2024;Sim
K19X;K04;159749;23828;01/04/2024;Sim
K19X;K24;159749;23837;01/04/2024;Sim
K19X;L14;356145;172224;01/04/2024;Sim
K19X;M03;344538;163181;01/04/2024;Não - Em Processamento
K19X;N09;391780;172975;01/04/2024;Sim
K19X;N20;350710;167502;01/04/2024;Sim
K19X;O02;356107;170785;01/04/2024;Não - <60 dias
K19X;P05;159749;23380;01/04/2024;Sim
K19X;P17;406486;178963;01/04/2024;Sim
K19X;R05;387546;176309;01/04/2024;Sim
K19X;R09;407253;179533;01/04/2024;Não - <60 dias
K19X;R16;54850;23326;01/04/2024;Não - >5Anos
K19X;R21;403401;177668;01/04/2024;Não - <60 dias
K19X;R24;403156;177492;01/04/2024;Não - <60 dias
K19X;S03;336921;156857;01/04/2024;Não - Em Processamento
K19X;S16;333278;154453;01/04/2024;Não - >5Anos
K19X;S31;409230;180411;01/04/2024;Não - <60 dias
K19X;T17;159749;23375;01/04/2024;Sim
K19X;U08;350891;167665;01/04/2024;Não - Exclusao Por Determinacao Judicial
K19X;V03;403188;177554;01/04/2024;Não - Liminar de Cobrança
K19X;W01;359622;173022;01/04/2024;Sim
K19X;W08;319028;142201;01/04/2024;Não - <60 dias
K19X;Y01;403138;177536;01/04/2024;Sim
K19X;Y03;403657;178228;01/04/2024;Não - Liminar de Cobrança
K19X;Y10;408011;179757;01/04/2024;Não - <60 dias
K19X;Y13;404445;178243;01/04/2024;Não - <60 dias
