Divisão;Unidade;Código Cliente;Projeto Financeiro;Mês base;Status Cobrança
LD16;P530;431626;184186;30/04/2024;Pago / Em dia
LD16;I504;430828;181441;30/04/2024;Alega pagamento
LF96;S506;431585;184194;30/04/2024;Preventivo de Acordo/Promessa
KJ32;CB106;431592;184204;30/04/2024;Pago / Em dia
KD82;I02;431703;184220;30/04/2024;Promessa de pagamento
M372;L11;159860;150416;30/04/2024;Promessa de pagamento
L47X;B122;164763;130933;30/04/2024;Não atende
L130;Q3907;242521;81663;30/04/2024;Em Negociação
M152;H312;243572;82436;30/04/2024;Pago / Em dia
M692;W15;270630;103746;30/04/2024;Sem acordo
L73X;130085;273607;106817;30/04/2024;Pago / Em dia
LB22;AL308;286495;181086;30/04/2024;Não atende
KF86;Y323;309047;133749;30/04/2024;Recado
KF86;E323;309140;133823;30/04/2024;Recado
M322;Q2108;297906;124917;30/04/2024;Não atende
M330;H10;312992;139121;30/04/2024;Não atende
K232;A111;332347;153115;30/04/2024;Não atende
M916;C108;222177;119955;30/04/2024;Retorno
M092;I05;246449;174212;30/04/2024;Não atende
M092;S15;270093;103277;30/04/2024;Pago / Em dia
K232;A056;314871;138616;30/04/2024;Não atende/Enviado whatsapp
KF86;LA328;326523;148212;30/04/2024;Não atende
L242;N17;344805;163410;30/04/2024;Promessa de pagamento
K19X;D03;344835;163385;30/04/2024;Não atende
M692;I17;345020;163526;30/04/2024;Ação judicial
M322;Q1701;252875;90568;30/04/2024;Óbito
M322;Q1901;252875;90637;30/04/2024;Óbito
M322;Q1702;252875;92303;30/04/2024;Óbito
M322;Q1902;252875;90132;30/04/2024;Óbito
K232;F1015;306999;132071;30/04/2024;Pago / Em dia
M330;V01;335660;155835;30/04/2024;Retorno
KF86;NA314;345335;179705;30/04/2024;Recado
M692;X05;345790;164132;30/04/2024;Não atende
M692;V04;345790;164133;30/04/2024;Não atende
K232;A082;345942;164249;30/04/2024;Não atende
M692;P06;304879;130255;30/04/2024;Pago / Em dia
KF86;H327;308329;133141;30/04/2024;Pago / Em dia
KF86;N309;339618;159130;30/04/2024;Não atende/Enviado whatsapp
K232;A072;346132;164372;30/04/2024;Em Negociação
LA8X;Y03;277068;183296;30/04/2024;Sem acordo
K19X;K24;159749;23837;30/04/2024;Bloqueio de cobrança Ausa
K19X;P05;159749;23380;30/04/2024;Bloqueio de cobrança Ausa
K19X;T17;159749;23375;30/04/2024;Bloqueio de cobrança Ausa
K19X;K04;159749;23828;30/04/2024;Bloqueio de cobrança Ausa
M092;X05;171596;174619;30/04/2024;Preventivo de Acordo/Promessa
KZ52;1116;64268;182975;30/04/2024;Retorno
KJ82;Q1104;194982;178656;30/04/2024;Financiamento - Não atende
KF86;BA305;308234;147390;30/04/2024;Financiamento bancario
K232;U053;334353;154815;30/04/2024;ANDAMENTO ESTEIRA DE AF
L73X;430122;262148;97258;30/04/2024;Pago / Em dia
M822;L405;285981;115235;30/04/2024;Recado
K232;R022;225734;69936;30/04/2024;Não atende
LB62;C204;246560;181807;30/04/2024;Preventivo de Acordo/Promessa
LB62;B207;248533;182493;30/04/2024;Pago / Em dia
L47X;F106;255266;91947;30/04/2024;Não atende
