Divisão;Unidade;Tipo de Lote
I030;AA01;CASA
I030;AA02;CASA
I030;AA03;CASA
I030;AA04;CASA
I030;AA05;CASA
I030;AA06;CASA
I030;AA07;CASA
I030;AA09;CASA
I030;AA10;CASA
I030;AA11;CASA
I030;AA12;CASA
I030;AA13;CASA
I030;I05;CASA
I030;Y01;CASA
I030;Y02;CASA
I030;Y03;CASA
I030;Y04;CASA
I030;Y05;CASA
I030;Y06;CASA
I030;Y07;CASA
I030;Y08;CASA
I030;Y09;CASA
I030;Y10;CASA
I030;Y11;CASA
I030;Y12;CASA
I030;Y13;CASA
I030;Z01;CASA
I030;Z02;CASA
I030;Z03;CASA
I030;Z04;CASA
I030;Z05;CASA
I030;Z06;CASA
I030;Z07;CASA
I030;Z08;CASA
I030;Z09;CASA
I030;Z10;CASA
I030;Z11;CASA
I030;Z12;CASA
I030;Z13;CASA
I030;Z14;CASA
I030;Z15;CASA
I030;Z16;CASA
I030;Z17;CASA
K01W;CS101;COMER
K01W;CS102;COMER
K01W;CS104;COMER
K01W;CS105;COMER
K01W;CS106;COMER
K01W;CS107;COMER
K01W;CS108;COMER
K01W;CS109;COMER
K01W;CS110;COMER
K01W;CS201;COMER
K01W;CS202;COMER
K01W;CS203;COMER
K01W;CS204;COMER
K01W;CS205;COMER
K01W;CS206;COMER
K01W;CS207;COMER
K01W;CS301;COMER
K01W;CS302;COMER
K01W;CS303;COMER
K01W;CS304;COMER
K01W;CS305;COMER
K01W;CS306;COMER
K01X;A202;RESID
K01X;A203;RESID
K01X;A204;RESID
K01X;A205;RESID
K01X;A301;RESID
K01X;A302;RESID
K01X;A303;RESID
K01X;A304;RESID
K01X;A305;RESID
K01X;A306;RESID
K01X;A307;RESID
K01X;A308;RESID
K01X;A309;RESID
K01X;A310;RESID
K01X;A401;RESID
K01X;A402;RESID
K01X;A403;RESID
K01X;A404;RESID
K01X;A405;RESID
K01X;A406;RESID
K01X;A407;RESID
K01X;A408;RESID
K01X;A409;RESID
K01X;A410;RESID
K01X;A411;RESID
K01X;A412;RESID
K01X;A413;RESID
K01X;A414;RESID
K01X;A415;RESID
K01X;A416;RESID
K01X;A417;RESID
K01X;A418;RESID
K01X;A419;RESID
K01X;A420;RESID
K01X;A421;RESID
K01X;A422;RESID
K01X;A423;RESID
K01X;A424;RESID
K01X;A425;RESID
K01X;A426;RESID
K01X;A427;RESID
K01X;A428;RESID
K01X;A429;RESID
K01X;A502;RESID
K01X;A503;RESID
K01X;B101;RESID
K01X;B102;RESID
K01X;B103;RESID
K01X;B104;RESID
K01X;B105;RESID
K01X;B106;RESID
K01X;B107;RESID
K01X;B108;RESID
K01X;B109;RESID
K01X;B110;RESID
K01X;B111;RESID
K01X;B112;RESID
K01X;B113;RESID
K01X;B114;RESID
K01X;B201;RESID
K01X;B202;RESID
K01X;B203;RESID
K01X;B204;RESID
K01X;B205;RESID
K01X;B301;RESID
K01X;B302;RESID
K01X;B303;RESID
K01X;B304;RESID
K01X;B305;RESID
K01X;B306;RESID
K01X;B307;RESID
K01X;B308;RESID
K01X;B309;RESID
K01X;B310;RESID
K01X;B311;RESID
K01X;B312;RESID
K01X;B401;RESID
K01X;B402;RESID
K01X;B403;RESID
K01X;B404;RESID
K01X;B405;RESID
K01X;B406;RESID
K01X;B407;RESID
K01X;B408;RESID
K01X;B409;RESID
K01X;B410;RESID
K01X;B411;RESID
K01X;B412;RESID
K01X;B413;RESID
K01X;B414;RESID
K01X;B501;RESID
K01X;B502;RESID
K01X;B503;RESID
K01X;B504;RESID
K01X;B505;RESID
K01X;B506;RESID
K01X;B507;RESID
K01X;B508;RESID
K01X;B509;RESID
K01X;B510;RESID
K01X;B511;RESID
K01X;C101;RESID
K01X;C102;RESID
K01X;C103;RESID
K01X;C104;RESID
K01X;C105;RESID
K01X;C106;RESID
K01X;C107;RESID
K01X;C108;RESID
K01X;C109;RESID
K01X;C110;RESID
K01X;C111;RESID
K01X;C112;RESID
K01X;C113;RESID
K01X;C114;RESID
K01X;C115;RESID
K01X;C116;RESID
K01X;C117;RESID
K01X;C118;RESID
K01X;C119;RESID
K01X;C201;RESID
K01X;C202;RESID
K01X;C203;RESID
K01X;C302;RESID
K01X;C303;RESID
K01X;C304;RESID
K01X;C305;RESID
K01X;C306;RESID
K01X;C307;RESID
K01X;C308;RESID
K01X;C309;RESID
K01X;C310;RESID
K01X;C311;RESID
K01X;C312;RESID
K01X;C313;RESID
K01X;C314;RESID
K01X;C401;RESID
K01X;C402;RESID
K01X;C403;RESID
K01X;C404;RESID
K01X;C405;RESID
K01X;C406;RESID
K01X;C407;RESID
K01X;C408;RESID
K01X;C409;RESID
K01X;C410;RESID
K01X;C411;RESID
K01X;C412;RESID
K01X;C413;RESID
K01X;C414;RESID
K01X;C415;RESID
K01X;C501;RESID
K01X;C502;RESID
K01X;C503;RESID
K01X;C504;RESID
K01X;C505;RESID
K01X;C506;RESID
K01X;C507;RESID
K01X;C508;RESID
K01X;C509;RESID
K01X;D101;RESID
K01X;D102;RESID
K01X;D103;RESID
K01X;D104;RESID
K01X;D105;RESID
K01X;D106;RESID
K01X;D201;RESID
K01X;D202;RESID
K01X;D301;RESID
K01X;D302;RESID
K01X;D303;RESID
K01X;D304;RESID
K01X;D305;RESID
K01X;D306;RESID
K01X;D307;RESID
K01X;D401;RESID
K01X;D402;RESID
K01X;D404;RESID
K01X;D405;RESID
K01X;D406;RESID
K01X;D407;RESID
K01X;D408;RESID
K01X;D409;RESID
K01X;D410;RESID
K01X;D411;RESID
K01X;D412;RESID
K01X;D413;RESID
K01X;D502;RESID
K01X;D503;RESID
K01X;D504;RESID
K01X;D505;RESID
K01X;D506;RESID
K01X;D507;RESID
K01X;E101;RESID
K01X;E102;RESID
