Divisão;Valor m2 Atual;Mês fechamento
M412;1150;01/04/2024
M410;1150;01/04/2024
K02X;1500;01/04/2024
L412;700;01/04/2024
K872;1800;01/04/2024
K862;1800;01/04/2024
K02L;5761;01/04/2024
K243;1500;01/04/2024
K242;1500;01/04/2024
M152;1200;01/04/2024
M822;1200;01/04/2024
L110;1200;01/04/2024
KT33;770;01/04/2024
L220;800;01/04/2024
L186;1000;01/04/2024
K41X;1400;01/04/2024
K41W;2000;01/04/2024
K41Y;2000;01/04/2024
K89X;900;01/04/2024
M772;1500;01/04/2024
M522;1500;01/04/2024
KN06;1300;01/04/2024
K232;750;01/04/2024
M782;1600;01/04/2024
K342;1200;01/04/2024
M252;200;01/04/2024
KH02;500;01/04/2024
M082;500;01/04/2024
K130;3500;01/04/2024
L130;3500;01/04/2024
L36X;513;01/04/2024
L992;513;01/04/2024
L592;650;01/04/2024
L58X;650;01/04/2024
M462;616;01/04/2024
K03X;350;01/04/2024
L25X;350;01/04/2024
K76X;360;01/04/2024
K03W;360;01/04/2024
M762;360;01/04/2024
M482;550;01/04/2024
K32X;1500;01/04/2024
L302;850;01/04/2024
KP92;650;01/04/2024
L40X;1200;01/04/2024
M752;1100;01/04/2024
KQ02;750;01/04/2024
M952;160;01/04/2024
M953;483;01/04/2024
KJ63;1500;01/04/2024
KJ62;2500;01/04/2024
KP72;2500;01/04/2024
K12X;750;01/04/2024
L01X;750;01/04/2024
L33X;750;01/04/2024
K12Y;750;01/04/2024
L01Y;750;01/04/2024
K12W;750;01/04/2024
M192;500;01/04/2024
KJ22;1000;01/04/2024
K95X;2000;01/04/2024
K42X;2000;01/04/2024
L73X;1000;01/04/2024
KG92;1100;01/04/2024
K47X;750;01/04/2024
K44X;750;01/04/2024
K30X;1500;01/04/2024
K42W;1500;01/04/2024
K42Y;1500;01/04/2024
KF22;720;01/04/2024
M032;800;01/04/2024
K18X;1500;01/04/2024
K20X;1100;01/04/2024
K20Y;750;01/04/2024
K20W;750;01/04/2024
K60X;1100;01/04/2024
KF02;750;01/04/2024
L72L;3079;01/04/2024
M172;650;01/04/2024
K31X;800;01/04/2024
K04X;1100;01/04/2024
M322;1100;01/04/2024
M632;1200;01/04/2024
K97X;1100;01/04/2024
K04W;800;01/04/2024
KJ82;1150;01/04/2024
M712;430;01/04/2024
K15X;1100;01/04/2024
K51X;1100;01/04/2024
M052;700;01/04/2024
M422;900;01/04/2024
K49X;3000;01/04/2024
K40X;3000;01/04/2024
K40W;1000;01/04/2024
M982;750;01/04/2024
KQ22;713;01/04/2024
KL80;513;01/04/2024
M372;6300;01/04/2024
K19X;600;01/04/2024
M330;600;01/04/2024
KX02;3823;01/04/2024
M992;1200;01/04/2024
L902;450;01/04/2024
KE42;2000;01/04/2024
KZ22;2000;01/04/2024
M722;800;01/04/2024
K45X;825;01/04/2024
K59X;825;01/04/2024
K45W;650;01/04/2024
K01X;1250;01/04/2024
K01W;1000;01/04/2024
K43X;1250;01/04/2024
K43W;1000;01/04/2024
K43Z;2770;01/04/2024
M162;513;01/04/2024
M622;513;01/04/2024
K672;625;01/04/2024
M612;625;01/04/2024
KK22;800;01/04/2024
K272;850;01/04/2024
KA02;700;01/04/2024
KT32;1200;01/04/2024
K350;750;01/04/2024
K33X;240;01/04/2024
K33W;185;01/04/2024
K73X;550;01/04/2024
K382;550;01/04/2024
L74X;800;01/04/2024
L91X;800;01/04/2024
KF86;1000;01/04/2024
KT16;1000;01/04/2024
K22X;1000;01/04/2024
M512;475;01/04/2024
L47X;800;01/04/2024
K370;750;01/04/2024
K29X;850;01/04/2024
K29W;236;01/04/2024
K05X;1600;01/04/2024
K05W;720;01/04/2024
K16X;1600;01/04/2024
K16W;850;01/04/2024
M916;1300;01/04/2024
K11X;1000;01/04/2024
LA36;1200;01/04/2024
KP66;1100;01/04/2024
KL26;1000;01/04/2024
KD26;1000;01/04/2024
L242;850;01/04/2024
M692;850;01/04/2024
KD82;1100;01/04/2024
L05X;1200;01/04/2024
M092;1200;01/04/2024
K07X;800;01/04/2024
K07W;800;01/04/2024
L32X;210;01/04/2024
L84X;210;01/04/2024
M562;565;01/04/2024
K28X;800;01/04/2024
K98X;800;01/04/2024
M012;800;01/04/2024
KB82;800;01/04/2024
K64W;800;01/04/2024
L42X;700;01/04/2024
KQ12;2000;01/04/2024
KT82;1200;01/04/2024
LA62;818;01/04/2024
KE82;1000;01/04/2024
KJ32;1087;01/04/2024
LD16;900;01/04/2024
LA92;924;01/04/2024
LB22;780;01/04/2024
LB62;920;01/04/2024
I030;11055;01/04/2024
LE56;1020;01/04/2024
LB52;854;01/04/2024
KZ52;1254;01/04/2024
LA8X;2115;01/04/2024
LA8W;2661;01/04/2024
LF33;2195;01/04/2024
LF43;2367;01/04/2024
LF53;2324;01/04/2024
LF63;2271;01/04/2024
LF73;2435;01/04/2024
LF96;1275;01/04/2024
LE62;2492;01/04/2024
LE22;1571;01/04/2024
LA8Y;2300;01/04/2024
